user_id;teaser_id;event_type;timestamp;device_type;country
1;123;click;2022-10-29 11:14:14;desktop;FR
2;123;impression;2021-01-29 15:29:33;mobile;US
3;456;impression;2022-08-15 04:30:34;mobile;DE
4;456;impression;2021-11-29 09:56:31;mobile;US
5;789;impression;2021-11-20 23:27:03;desktop;US
6;789;click;2023-07-03 21:08:12;tablet;US
7;123;click;2021-07-28 07:36:05;tablet;US
8;789;impression;2021-02-19 13:01:17;mobile;US
9;123;impression;2021-07-26 08:35:10;desktop;DE
10;456;impression;2022-01-13 17:49:10;tablet;US
11;123;impression;2022-04-10 11:36:59;desktop;US
12;789;impression;2023-04-05 00:20:17;mobile;DE
13;123;impression;2023-03-22 05:26:54;mobile;US
14;789;impression;2022-08-10 02:22:31;mobile;FR
15;789;impression;2023-05-04 02:37:02;tablet;DE
16;789;impression;2021-04-04 22:40:32;tablet;DE
17;123;impression;2021-09-23 20:54:53;tablet;US
18;789;impression;2023-05-26 05:52:01;mobile;FR
19;789;impression;2021-10-15 19:06:42;desktop;US
20;789;impression;2022-09-08 17:05:07;desktop;US
21;456;impression;2023-08-24 03:55:27;tablet;DE
22;456;impression;2023-04-19 22:28:53;desktop;FR
23;789;click;2021-01-30 07:08:18;tablet;DE
24;456;impression;2023-09-29 16:50:26;tablet;DE
25;789;click;2022-08-31 04:54:14;mobile;US
26;456;impression;2022-04-19 23:38:51;mobile;DE
27;456;impression;2023-02-28 23:04:32;desktop;DE
28;123;impression;2022-08-11 20:50:50;desktop;DE
29;123;impression;2021-05-20 11:29:19;tablet;DE
30;456;click;2022-03-08 20:03:38;mobile;US
31;789;impression;2023-02-20 12:51:26;tablet;US
32;789;impression;2023-10-29 23:21:01;tablet;DE
33;456;impression;2021-12-03 12:58:47;tablet;FR
34;789;impression;2022-09-23 17:38:30;mobile;US
35;456;impression;2022-04-05 23:30:24;mobile;DE
36;456;impression;2022-02-17 12:53:14;mobile;FR
37;789;impression;2022-10-15 04:22:04;mobile;FR
38;789;click;2021-04-29 03:38:19;desktop;US
39;789;impression;2021-07-25 05:39:30;tablet;US
40;456;impression;2023-03-12 04:03:55;desktop;FR
41;456;impression;2023-01-10 23:03:37;tablet;FR
42;123;impression;2021-12-20 16:56:58;tablet;DE
43;456;impression;2021-02-14 03:09:11;desktop;FR
44;789;click;2023-08-18 13:09:29;mobile;DE
45;789;impression;2021-06-13 17:53:55;mobile;DE
46;789;click;2022-09-24 03:48:40;tablet;FR
47;123;impression;2021-10-27 04:55:29;mobile;DE
48;789;impression;2021-07-23 04:54:09;desktop;FR
49;123;click;2023-12-11 16:43:58;mobile;US
50;456;click;2022-03-19 02:16:04;tablet;DE
51;456;impression;2023-04-30 05:11:08;tablet;US
52;789;click;2021-12-29 22:40:36;tablet;US
53;123;impression;2022-08-11 05:14:34;tablet;FR
54;456;impression;2022-06-06 17:35:50;mobile;DE
55;789;impression;2021-10-11 06:19:34;desktop;FR
56;456;impression;2023-04-27 12:12:48;desktop;DE
57;456;impression;2023-05-12 21:49:15;desktop;US
58;789;impression;2021-02-06 15:36:25;desktop;DE
59;789;impression;2022-12-12 23:31:24;mobile;US
60;123;impression;2021-12-27 00:49:42;tablet;US
61;789;impression;2021-01-28 23:58:46;desktop;FR
62;123;impression;2021-11-04 00:55:52;mobile;US
63;456;impression;2022-03-14 20:27:07;desktop;US
64;123;impression;2023-07-01 08:45:17;tablet;FR
